 ord	PID	List
Acronym	PID	#	Description Ford	Units
4X4L	1101	b2	Requested 4 Wheel Drive Input	ON/OFF
ACCS	1101	b0	Air   Conditioning Cycling Switch Input ON/OFF
ACP	1102	b0	A/C Head Pressure Switch Input	OPEN/CLOSED
ACPV	1638	all	A/C Head Pressure Switch Input	VOLTS
AIR	1104	b4	Secondary AIR Pump Control	ON/OFF
AIRM	110C	b1	Secondary AIR Pump Monitor	ON/OFF
BARO	1127	all	Barometric Pressure (may be software determined)	Hz
BPP/BOO	1101	b1	Brake Pedal Position/Brake On-Off Switch Input	ON/OFF
CAMDCR	16CF	all	Commanded Duty Cycle for VCT Solenoid	%
CAMERRR	16CE	all	VCT Error in Crankshaft Degrees	DEGREES
CASGND	16CO	all	PCM Case Ground	VOLTS
CCS	1105	b7	Coast Clutch Solenoid Control	ON/OFF
CHT	1624	all	Cylinder Head Temperature Input	DEGREES
CHTV	1685	all	Cylinder Head Temperature Input	VOLTS
CPP/PNP	1101	b3	Clutch Pedal/Park Neutral Position Switch Input	ON/OFF
DPFEGR	114E	all	Differential Pressure Feedback EGR Input	VOLTS
ECT	1139	all	Engine Coolant Temperature Input	DEGREES
ECTV	114D	all	Engine Coolant Temperature Input	VOLTS
EFTA	168E	all	Engine Fuel Temperature - Bank 1 Input	DEGREES
EFTAV	168D	all	Engine Fuel Temperature - Bank 1 Input	VOLTS
EFTB	169O	all	Engine Fuel Temperature - Bank 2 Input	DEGREES
EFTBV	168F	all	Engine Fuel Temperature - Bank 2 Input	VOLTS
EGRVR	113C	all	EGR Valve Vacuum Control	%
EOT	1310	all	Engine Oil Temperature Sensor Input	DEGREES
EOTV	16AF	all	Engine Oil Temperature Sensor Input	VOLTS
EOTF	16A9	all	Engine Oil Temperature Fault Detection	YES/NO
EPC	11C0	all	Transmission Line Pressure Control	PSI
EPCV	11B2	all	Transmission Line Pressure Control	VOLTS
EVAPCPF	162F	b2	Evaporative Emissions Canister Purge Fault	YES/NO
EVAPCV	1167	all	Evaporative Emissions Canister Purge Vent Control	%
EVAPCVF	1630	b3	Evaporative Emissions Canister Purge Vent Fault	YES/NO
EVAPPDC	1166	all	Evaporative Emissions Canister Purge Control	%
EVAPPF	1627	all	Evaporative Purge Flow Input	VOLTS
EVAPVMA	1636	all	Evaporative Vapor Management Valve Internal Circuit Monitor VOLTS
FF	16AB	all	Flex Fuel Sensor Input	%
FLI	16C1	all	Fuel Level Indicator Input	%
FLIV	16BF	all	Fuel Level Indicator Input	VOLTS
FPM	1673	all	Fuel Pump Secondary Monitor	%
FPF	162E	b6	Fuel Pump Output Fault YES/NO
FPM	110C	b0	Fuel Pump Secondary Monitor	ON/OFF
FRP	168C	all	Engine Injector Pressure Input	PSI
FRPV	168B	all	Engine Injector Pressure Input	VOLTS
FSVF	1691	b1	Engine Fuel Solenoid Valve Fault	YES/NO
